Date,up,down,sum,ma150_changes
2022-09-07,2573,909,1664,-157.96
2022-09-08,2118,1376,742,-143.44666666666666
2022-09-09,2563,953,1610,-119.02666666666667
2022-09-12,2250,1259,991,-120.38666666666667
2022-09-13,697,2888,-2191,-139.59333333333333
2022-09-14,1627,1869,-242,-148.26666666666668
2022-09-15,1598,1890,-292,-160.48666666666668
2022-09-16,1058,2461,-1403,-160.62666666666667
2022-09-19,1614,1964,-350,-152.2
2022-09-20,953,2549,-1596,-154.22666666666666
2022-09-21,939,2564,-1625,-181.22666666666666
2022-09-22,657,2876,-2219,-196.58666666666667
2022-09-23,689,2877,-2188,-196.72666666666666
2022-09-26,1150,2443,-1293,-196.88
2022-09-27,1905,1629,276,-183.15333333333334
2022-09-28,2878,696,2182,-156.31333333333333
2022-09-29,799,2736,-1937,-175.58666666666667
2022-09-30,1446,2037,-591,-190.22
2022-10-03,2632,928,1704,-178.42
2022-10-04,2976,614,2362,-155.09333333333333
2022-10-05,1302,2191,-889,-169.56666666666666
2022-10-06,1468,2021,-553,-164.58
2022-10-07,529,2960,-2431,-169.14
2022-10-10,1308,2182,-874,-163.9
2022-10-11,1415,2125,-710,-170.81333333333333
2022-10-12,1625,1836,-211,-187.12
2022-10-13,2442,1102,1340,-172.64
2022-10-14,822,2616,-1794,-173.82
2022-10-17,2729,808,1921,-149.27333333333334
2022-10-18,2284,1206,1078,-148.96
2022-10-19,941,2608,-1667,-175.33333333333334
2022-10-20,1522,1972,-450,-190.42666666666668
2022-10-21,2352,1176,1176,-191.07333333333332
2022-10-24,1761,1728,33,-184.40666666666667
2022-10-25,2860,659,2201,-180.60666666666665
2022-10-26,2054,1489,565,-168.74666666666667
2022-10-27,1672,1857,-185,-177.98
2022-10-28,2489,1018,1471,-163.31333333333333
2022-10-31,1585,1918,-333,-163.91333333333333
2022-11-01,1991,1546,445,-173.42
2022-11-02,851,2680,-1829,-176.7
2022-11-03,1459,2045,-586,-173.38666666666666
2022-11-04,1968,1527,441,-174.30666666666667
2022-11-07,1919,1614,305,-178.16
2022-11-08,1666,1802,-136,-167.01333333333332
2022-11-09,772,2762,-1990,-169.49333333333334
2022-11-10,2992,598,2394,-148.46
2022-11-11,2331,1200,1131,-134.27333333333334
2022-11-14,1400,2173,-773,-130.98666666666668
2022-11-15,2364,1225,1139,-120.58
2022-11-16,1007,2508,-1501,-142.48
2022-11-17,1340,2173,-833,-139.96666666666667
2022-11-18,1853,1682,171,-130.33333333333334
2022-11-21,1384,2178,-794,-147.6
2022-11-22,2123,1423,700,-142.69333333333333
2022-11-23,2120,1388,732,-124.3
2022-11-25,1928,1441,487,-108.44666666666667
2022-11-28,944,2648,-1704,-122.86
2022-11-29,1721,1795,-74,-106.22
2022-11-30,2752,794,1958,-88.26
2022-12-01,1871,1669,202,-94.46
2022-12-02,2033,1448,585,-78.86
2022-12-05,853,2694,-1841,-96.01333333333334
2022-12-06,999,2535,-1536,-108.52
2022-12-07,1419,2081,-662,-123.8
2022-12-08,2040,1446,594,-103.4
2022-12-09,1236,2264,-1028,-98.04666666666667
2022-12-12,2067,1439,628,-76.76666666666667
2022-12-13,2045,1509,536,-70.30666666666667
2022-12-14,1382,2149,-767,-60.93333333333333
2022-12-15,862,2700,-1838,-76.06666666666666
2022-12-16,1370,2158,-788,-94.18666666666667
2022-12-19,959,2622,-1663,-100.99333333333334
2022-12-20,1844,1715,129,-114.40666666666667
2022-12-21,2389,1144,1245,-91.45333333333333
2022-12-22,1181,2360,-1179,-101.88
2022-12-23,1815,1693,122,-98.14666666666666
2022-12-27,1174,2431,-1257,-110.29333333333334
2022-12-28,1247,2343,-1096,-106.88
2022-12-29,2977,607,2370,-100.29333333333334
2022-12-30,1881,1712,169,-110.86
2023-01-03,1946,1694,252,-124.42666666666666
2023-01-04,2626,995,1631,-109.59333333333333
2023-01-05,1525,2101,-576,-106.34666666666666
2023-01-06,2624,1025,1599,-107.52
2023-01-09,2083,1519,564,-97.96
2023-01-10,2609,950,1659,-86.79333333333334
2023-01-11,2429,1167,1262,-84.69333333333333
2023-01-12,2559,1025,1534,-72.32666666666667
2023-01-13,2281,1273,1008,-54.12
2023-01-17,1921,1730,191,-37.94
2023-01-18,1136,2517,-1381,-28.033333333333335
2023-01-19,1318,2276,-958,-31.533333333333335
2023-01-20,2671,912,1759,-30.82
2023-01-23,2337,1303,1034,-7.726666666666667
2023-01-24,1630,1953,-323,-18.886666666666667
2023-01-25,1865,1670,195,-27.24
2023-01-26,2073,1497,576,-23.213333333333335
2023-01-27,2079,1495,584,-26.16
2023-01-30,1180,2449,-1269,-42.70666666666666
2023-01-31,2771,836,1935,-29.906666666666666
2023-02-01,2454,1146,1308,-9.546666666666667
2023-02-02,2641,954,1687,8.493333333333334
2023-02-03,1410,2193,-783,7.586666666666667
2023-02-06,1264,2313,-1049,-5.02
2023-02-07,2045,1502,543,-6.613333333333333
2023-02-08,1038,2532,-1494,-12.52
2023-02-09,989,2563,-1574,-35.693333333333335
2023-02-10,1493,2026,-533,-41.693333333333335
2023-02-13,2205,1377,828,-24.04
2023-02-14,1648,1911,-263,-24.24
2023-02-15,2358,1227,1131,-16.326666666666668
2023-02-16,1184,2381,-1197,-15.653333333333334
2023-02-17,1877,1635,242,-23.68
2023-02-21,633,2989,-2356,-38.49333333333333
2023-02-22,1726,1843,-117,-53.21333333333333
2023-02-23,1977,1570,407,-60.973333333333336
2023-02-24,880,2706,-1826,-77.39333333333333
2023-02-27,2001,1598,403,-62.85333333333333
2023-02-28,1835,1707,128,-60.81333333333333
2023-03-01,1549,2051,-502,-58.08
2023-03-02,1886,1731,155,-69.16
2023-03-03,2476,1072,1404,-64.56
